data_date_part;count(1);WeekDay
2019-10-09;1031;Wednesday
2019-10-08;1071;Tuesday
2019-10-07;2403;Monday
2019-10-04;3108;Friday
2019-10-03;1044;Thursday
2019-10-02;1031;Wednesday
2019-10-01;949;Tuesday
2019-09-30;153;Monday
2019-09-27;5989;Friday
2019-09-26;1171;Thursday
2019-09-25;937;Wednesday
2019-09-24;992;Tuesday
2019-09-23;1155;Monday
2019-09-20;3571;Friday
2019-09-19;1184;Thursday
2019-09-18;1055;Wednesday
2019-09-17;1020;Tuesday
2019-09-16;1175;Monday
2019-09-13;3556;Friday
2019-09-12;35727;Thursday
2019-09-11;1078;Wednesday
2019-09-10;1013;Tuesday
2019-09-09;1031;Monday
2019-09-06;4437;Friday
2019-09-05;1129;Thursday
2019-09-04;1014;Wednesday
2019-09-03;1039;Tuesday
2019-09-02;1963;Monday
2019-08-30;137;Friday
2019-08-29;92;Thursday
2019-08-28;4808;Wednesday
2019-08-27;1210;Tuesday
2019-08-26;1203;Monday
2019-08-23;3005;Friday
2019-08-22;1217;Thursday
2019-08-21;1173;Wednesday
2019-08-20;1280;Tuesday
2019-08-19;1175;Monday
2019-08-16;3185;Friday
2019-08-14;2527;Wednesday
2019-08-13;1050;Tuesday
2019-08-12;36071;Monday
2019-08-09;3041;Friday
2019-08-08;1060;Thursday
2019-08-07;2421;Wednesday
2019-08-06;1051;Tuesday
2019-08-05;1125;Monday
2019-08-02;3046;Friday
2019-08-01;934;Thursday
2019-07-31;50;Wednesday
2019-07-30;82;Tuesday
2019-07-29;100;Monday
2019-07-26;7154;Friday
2019-07-25;932;Thursday
2019-07-24;977;Wednesday
2019-07-23;1146;Tuesday
2019-07-22;1228;Monday
2019-07-19;3586;Friday
2019-07-18;1051;Thursday
2019-07-17;1013;Wednesday
2019-07-16;1205;Tuesday
2019-07-15;1397;Monday
2019-07-12;38591;Friday
2019-07-11;1044;Thursday
2019-07-10;1027;Wednesday
2019-07-09;1032;Tuesday
2019-07-08;1053;Monday
2019-07-05;4597;Friday
2019-07-04;1025;Thursday
2019-07-03;1056;Wednesday
2019-07-02;1028;Tuesday
2019-07-01;934;Monday
2019-06-28;4991;Friday
2019-06-27;1217;Thursday
2019-06-26;1146;Wednesday
2019-06-25;933;Tuesday
2019-06-24;978;Monday
2019-06-21;3468;Friday
2019-06-20;1282;Thursday
2019-06-19;1174;Wednesday
2019-06-18;1057;Tuesday
2019-06-17;995;Monday
2019-06-14;3733;Friday
2019-06-13;1063;Thursday
2019-06-12;36780;Wednesday
2019-06-11;1065;Tuesday
2019-06-10;1016;Monday
2019-06-07;4539;Friday
2019-06-06;1072;Thursday
2019-06-05;1137;Wednesday
2019-06-04;1029;Tuesday
2019-06-03;2967;Monday
2019-05-31;40;Friday
2019-05-30;67;Thursday
2019-05-29;102;Wednesday
2019-05-28;4954;Tuesday
2019-05-27;1241;Monday
2019-05-24;2982;Friday
2019-05-23;1159;Thursday
2019-05-22;1268;Wednesday
2019-05-21;1219;Tuesday
2019-05-20;1298;Monday
2019-05-17;3156;Friday
2019-05-16;1238;Thursday
2019-05-15;1447;Wednesday
2019-05-14;1192;Tuesday
2019-05-13;1081;Monday
2019-05-10;39310;Friday
2019-05-09;1047;Thursday
2019-05-08;1076;Wednesday
2019-05-07;2519;Tuesday
2019-05-06;1067;Monday
2019-05-03;3140;Friday
2019-05-02;1983;Thursday
2019-04-30;54;Tuesday
2019-04-29;62;Monday
2019-04-26;7370;Friday
2019-04-25;934;Thursday
2019-04-24;977;Wednesday
2019-04-23;1129;Tuesday
2019-04-22;1255;Monday
2019-04-18;4632;Thursday
2019-04-17;986;Wednesday
2019-04-16;1215;Tuesday
2019-04-15;1443;Monday
2019-04-12;39792;Friday
2019-04-11;1061;Thursday
2019-04-10;1033;Wednesday
2019-04-09;1046;Tuesday
2019-04-08;1066;Monday
2019-04-05;4704;Friday
2019-04-04;1034;Thursday
2019-04-03;1044;Wednesday
2019-04-02;1055;Tuesday
2019-04-01;977;Monday
2019-03-29;52;Friday
2019-03-28;5082;Thursday
2019-03-27;1237;Wednesday
2019-03-26;1153;Tuesday
2019-03-25;962;Monday
2019-03-22;3335;Friday
2019-03-21;1201;Thursday
2019-03-20;1304;Wednesday
2019-03-19;1208;Tuesday
2019-03-18;1081;Monday
2019-03-15;3592;Friday
2019-03-14;1198;Thursday
2019-03-13;1050;Wednesday
2019-03-12;38061;Tuesday
2019-03-11;1068;Monday
2019-03-08;3093;Friday
2019-03-07;2570;Thursday
2019-03-06;1065;Wednesday
2019-03-05;1152;Tuesday
2019-03-04;1036;Monday
2019-03-01;2989;Friday
2019-02-28;5112;Thursday
2019-02-27;1242;Wednesday
2019-02-26;1164;Tuesday
2019-02-25;947;Monday
2019-02-22;3371;Friday
2019-02-21;1216;Thursday
2019-02-20;1335;Wednesday
2019-02-19;1207;Tuesday
2019-02-18;1098;Monday
2019-02-15;3654;Friday
2019-02-14;1193;Thursday
2019-02-13;1080;Wednesday
2019-02-12;38474;Tuesday
2019-02-11;1077;Monday
2019-02-08;3131;Friday
2019-02-07;2568;Thursday
2019-02-06;1083;Wednesday
2019-02-05;1164;Tuesday
2019-02-04;1046;Monday
2019-02-01;3029;Friday
2019-01-31;86;Thursday
2019-01-30;175;Wednesday
