date;vals
2019-10-01;209470
2019-09-30;39932914
2019-09-27;51345
2019-09-26;48916
2019-09-25;53914
2019-09-24;53914
2019-09-23;222267
2019-09-20;133105
2019-09-19;50335
2019-09-18;57950
2019-09-17;66581
2019-09-16;413315
2019-09-13;74833
2019-09-12;81372
2019-09-11;90172
2019-09-10;205782
2019-09-09;481393
2019-09-06;194140
2019-09-05;172888
2019-09-04;206213
2019-09-03;291391
2019-09-02;39464125
2019-08-30;49650
2019-08-29;47231
2019-08-28;69082
2019-08-27;116679
2019-08-26;84590
2019-08-23;49780
2019-08-22;44848
2019-08-21;66312
2019-08-20;50337
2019-08-19;50337
2019-08-16;95269
2019-08-14;73077
2019-08-13;73273
2019-08-12;172244
2019-08-09;165229
2019-08-08;165229
2019-08-07;161533
2019-08-06;243243
2019-08-05;504924
2019-08-02;415730
2019-08-01;39191629
2019-07-31;415730
2019-07-30;56928
2019-07-29;53440
2019-07-26;111026
2019-07-25;44759
2019-07-24;48705
2019-07-23;48705
2019-07-22;70289
2019-07-19;58725
2019-07-18;142994
2019-07-17;259336
2019-07-16;127255
2019-07-15;3963356
2019-07-12;76804
2019-07-11;70741
2019-07-10;70741
2019-07-09;94323
2019-07-08;94323
2019-07-05;184750
2019-07-04;184750
2019-07-03;152433
2019-07-02;152433
2019-07-01;188790
2019-06-28;54269
2019-06-27;52475
2019-06-26;63524
2019-06-25;152741
2019-06-24;334564
2019-06-21;195478
2019-06-20;173358
2019-06-19;295810
2019-06-18;129540
2019-06-17;3888081
2019-06-14;81483
2019-06-13;108409
2019-06-12;78889
2019-06-11;89086
2019-06-10;191175
2019-06-07;133414
2019-06-06;142026
2019-06-05;217224
2019-06-04;284929
2019-06-03;35490166
2019-05-31;41940
2019-05-30;44950
2019-05-29;51897
2019-05-28;76405
2019-05-27;147795
2019-05-24;62982
2019-05-23;136341
2019-05-22;227357
2019-05-21;164592
2019-05-20;3059948
2019-05-17;45640
2019-05-16;56135
2019-05-15;60144
2019-05-14;70848
2019-05-13;121605
2019-05-10;95194
2019-05-09;83999
2019-05-08;96153
2019-05-07;126442
2019-05-06;369372
2019-05-03;339995
2019-05-02;34209819
2019-04-30;42430
2019-04-29;59009
2019-04-26;51841
2019-04-25;43802
2019-04-24;87815
2019-04-23;179996
2019-04-22;123609
2019-04-18;66436
2019-04-17;62124
2019-04-16;81209
2019-04-15;1918844
2019-04-12;64529
2019-04-11;86555
2019-04-10;153418
2019-04-09;82366
2019-04-08;172343
2019-04-05;123772
2019-04-04;131074
2019-04-03;162120
2019-04-02;231647
2019-04-01;33291304
2019-03-29;40493
2019-03-28;37477
2019-03-27;48311
2019-03-26;52801
2019-03-25;67325
2019-03-22;47292
2019-03-21;162797
2019-03-20;174377
2019-03-19;79315
2019-03-18;1460248
2019-03-15;153851
2019-03-14;58700
2019-03-13;60533
2019-03-12;77565
2019-03-11;167246
2019-03-08;102759
2019-03-07;112256
2019-03-06;124445
2019-03-05;166030
2019-03-04;621069
2019-03-01;32066466
2019-02-28;42431
2019-02-27;46182
2019-02-26;67174
2019-02-25;73907
2019-02-22;66703
2019-02-21;137727
2019-02-20;128143
2019-02-19;144310
2019-02-18;404017
2019-02-15;75417
2019-02-14;58832
2019-02-13;73776
2019-02-12;81586
2019-02-11;160082
2019-02-08;103162
2019-02-07;107520
2019-02-06;128945
2019-02-05;187711
2019-02-04;602933
2019-02-01;31798693
2019-01-31;40871
2019-01-30;80121
2019-01-29;52452
2019-01-28;126057
2019-01-25;75904
2019-01-24;40252
2019-01-23;44064
2019-01-22;66707
2019-01-21;71991
2019-01-18;55295
2019-01-17;68013
2019-01-16;55750
2019-01-15;79908
2019-01-14;100108
2019-01-11;74073
2019-01-10;95034
2019-01-09;76276
2019-01-08;90849
2019-01-07;188316
2019-01-04;167171
2019-01-03;184842
2019-01-02;32369293
2018-12-31;48382
2018-12-28;44846
2018-12-27;33773
2018-12-26;40917
2018-12-24;74266
2018-12-21;111173
2018-12-20;84569
2018-12-19;111543
2018-12-18;120546
2018-12-17;140829
2018-12-14;72926
2018-12-13;73283
2018-12-12;78312
2018-12-11;91072
2018-12-10;217997
2018-12-07;178619
2018-12-05;239027
2018-12-04;227698
2018-12-03;32271491
2018-11-30;43983
2018-11-29;38752
2018-11-28;49536
2018-11-27;81658
2018-11-26;66695
2018-11-23;135809
2018-11-22;75717
2018-11-21;213862
2018-11-20;85693
2018-11-19;386520
2018-11-16;93615
2018-11-15;122038
2018-11-14;133260
2018-11-13;168294
2018-11-12;159281
2018-11-09;161297
2018-11-08;110749
2018-11-07;141009
2018-11-06;351102
2018-11-05;517698
2018-11-02;31214173
2018-10-31;63296
2018-10-30;51572
2018-10-29;60040
2018-10-26;57670
2018-10-25;35195
2018-10-24;53268
2018-10-23;63703
2018-10-22;57509
2018-10-19;226402
2018-10-18;78652
2018-10-17;82512
2018-10-16;163746
2018-10-15;188847
2018-10-11;76308
2018-10-10;66443
2018-10-09;150900
2018-10-08;118572
2018-10-05;117656
2018-10-04;139300
2018-10-03;187487
2018-10-02;649817
2018-10-01;30858981
2018-09-28;44113
2018-09-27;35187
2018-09-26;81253
2018-09-25;63007
2018-09-24;39487
2018-08-17;114019
